LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3360,1.195e+08,0,0.0034026,-0.00091145,-0.0001819,0.040551,0.11112,-9.7432,0,0,44.838,1,1,8008,4004
3363,1.195e+08,0,0.0037003,-0.0015103,-0.00042531,0.044351,0.10841,-9.7428,0,0,44.838,1,1,8008,4004
3398,1.195e+08,0,0.0020077,-0.0017332,-0.0004604,0.046907,0.10362,-9.7445,0,0,44.838,1,1,8008,4004
3402,1.1951e+08,0,0.00089225,-0.0014346,-0.00026687,0.045756,0.10086,-9.747,0,0,44.838,1,1,8008,4004
3405,1.1951e+08,0,0.00059946,-0.00027864,9.9955e-05,0.042335,0.09802,-9.7489,0,0,44.838,1,1,8008,4004
3408,1.1951e+08,0,0.0008672,-0.00046798,0.00020347,0.04027,0.096031,-9.7497,0,0,44.838,1,1,8008,4004
3443,1.1951e+08,0,0.00066835,-0.0023059,0.0019314,0.038733,0.091742,-9.7524,0,0,44.838,1,1,8008,4004
3446,1.1952e+08,0,0.00083124,-0.0033047,0.0021213,0.036502,0.090544,-9.7556,0,0,44.838,1,1,8008,4004
3449,1.1952e+08,0,0.001867,-0.0036142,0.00136,0.035703,0.092342,-9.7575,0,0,44.838,1,1,8008,4004
3452,1.1952e+08,0,0.0036032,-0.0027701,-0.00089124,0.036512,0.096717,-9.7591,0,0,44.838,1,1,8008,4004
3487,1.1952e+08,0,0.0035578,-0.002273,-0.00071332,0.037205,0.10051,-9.7597,0,0,44.838,1,1,8008,4004
3490,1.1952e+08,0,0.0022117,-0.0020145,-0.00055997,0.03858,0.1069,-9.7629,0,0,44.838,1,1,8008,4004
3494,1.1953e+08,0,0.0013199,-0.0015991,-0.00030563,0.038753,0.11169,-9.7674,0,0,44.838,1,1,8008,4004
3498,1.1953e+08,0,0.0016448,-0.00032264,3.5038e-05,0.036378,0.12122,-9.7741,0,0,44.838,1,1,8008,4004
3533,1.1953e+08,0,0.0024802,-0.00067956,0.00029566,0.034236,0.12557,-9.7782,0,0,44.838,1,1,8008,4004
3537,1.1954e+08,0,0.0023816,-0.00085106,8.0267e-05,0.033654,0.12549,-9.7833,0,0,44.838,1,1,8008,4004
3541,1.1954e+08,0,0.0019738,-0.00092013,-6.8172e-05,0.033468,0.12315,-9.7827,0,0,44.838,1,1,8008,4004
3544,1.1954e+08,0,0.0019733,-0.00097174,0.0008139,0.031587,0.11978,-9.78,0,0,44.838,1,1,8008,4004
3579,1.1954e+08,0,0.0030887,-0.001198,0.0022165,0.028393,0.11506,-9.778,0,0,44.838,1,1,8008,4004
3582,1.1955e+08,0,0.0032265,-0.001384,0.0025378,0.026404,0.11084,-9.7757,0,0,44.838,1,1,8008,4004
3585,1.1955e+08,0,0.0008208,-0.00088711,0.002362,0.023722,0.10175,-9.7676,0,0,44.838,1,1,8008,4004
3588,1.1955e+08,0,-0.00048107,-0.0005174,0.0022211,0.022126,0.096031,-9.7601,0,0,44.838,1,1,8008,4004
3623,1.1955e+08,0,-0.00035657,-0.0017334,0.0017925,0.018937,0.092155,-9.7477,0,0,44.838,1,1,8008,4004
3626,1.1956e+08,0,0.00045122,-0.0022184,0.001911,0.018893,0.09208,-9.7411,0,0,44.838,1,1,8008,4004
3630,1.1956e+08,0,0.00023071,-0.0013583,0.0020281,0.019517,0.091628,-9.7362,0,0,44.838,1,1,8008,4004
3636,1.1956e+08,0,-0.00067078,-0.0009891,0.0017856,0.020305,0.091253,-9.7336,0,0,44.838,1,1,8008,4004
3671,1.1956e+08,0,-0.00089959,-0.00013048,0.0013468,0.022507,0.092065,-9.7341,0,0,44.838,1,1,8008,4004
3675,1.1957e+08,0,-0.0012359,0.0003536,0.00038382,0.024669,0.092977,-9.7388,0,0,44.838,1,1,8008,4004
3678,1.1957e+08,0,-0.0014094,2.9824e-05,-4.9586e-05,0.02753,0.09264,-9.7461,0,0,44.838,1,1,8008,4004
3681,1.1957e+08,0,-0.00029443,-0.00050703,0.00044236,0.031024,0.089233,-9.7525,0,0,44.838,1,1,8008,4004
3716,1.1957e+08,0,2.9191e-05,-0.00016266,2.4555e-05,0.033042,0.08789,-9.7561,0,0,44.838,1,1,8008,4004
3719,1.1958e+08,0,-0.00092394,-0.00072654,-0.0016735,0.033548,0.088296,-9.7609,0,0,44.838,1,1,8008,4004
