LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
2.0517e+05,1.6924e+09,0,0.99,0.69,0.95,0.12,0,1,1.6923e+06,200,-43.043
2.0597e+05,1.6925e+09,0,0.99,0.69,0.95,0.12,0,1,1.6925e+06,200,-43.043
2.0686e+05,1.6928e+09,0,0.99,0.69,0.95,0.11,0,1,1.6927e+06,200,-43.043
2.0767e+05,1.693e+09,0,0.99,0.69,0.95,0.11,0,1,1.6929e+06,200,-43.043
2.0847e+05,1.6932e+09,0,0.99,0.69,0.95,0.11,0,1,1.6931e+06,200,-43.043
2.0926e+05,1.6934e+09,0,0.99,0.69,0.95,0.11,0,1,1.6933e+06,200,-43.043
2.0999e+05,1.6935e+09,0,0.99,0.69,0.95,0.12,0,1,1.6935e+06,200,-43.043
2.1084e+05,1.6938e+09,0,0.99,0.69,0.95,0.12,0,1,1.6937e+06,200,-43.043
2.1164e+05,1.6939e+09,0,0.99,0.69,0.95,0.11,0,1,1.6939e+06,200,-43.043
2.1253e+05,1.6942e+09,0,0.99,0.69,0.95,0.12,0,1,1.6941e+06,200,-43.043
2.133e+05,1.6944e+09,0,0.99,0.69,0.94,0.13,0,1,1.6943e+06,200,-43.043
2.1407e+05,1.6945e+09,0,0.99,0.69,0.94,0.12,0,1,1.6945e+06,200,-43.044
2.1492e+05,1.6948e+09,0,0.99,0.68,0.94,0.11,0,1,1.6947e+06,200,-43.043
2.1559e+05,1.6949e+09,0,0.99,0.68,0.94,0.11,0,1,1.6949e+06,200,-43.043
2.1648e+05,1.6952e+09,0,0.99,0.68,0.94,0.11,0,1,1.6951e+06,200,-43.043
2.1725e+05,1.6953e+09,0,0.99,0.68,0.94,0.12,0,1,1.6953e+06,201,-43.043
2.1814e+05,1.6956e+09,0,0.99,0.68,0.94,0.14,0,1,1.6955e+06,200,-43.043
2.1894e+05,1.6958e+09,0,0.99,0.68,0.94,0.16,0,1,1.6957e+06,200,-43.043
2.1975e+05,1.696e+09,0,0.99,0.68,0.94,0.15,0,1,1.6959e+06,200,-43.043
2.2055e+05,1.6962e+09,0,0.99,0.68,0.94,0.12,0,1,1.6961e+06,200,-43.043
