LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
8609,21712217,0,1.4,0.39,17.61,0.0007123888000000001,0.002828614,-0.313081,0.1424732,0,0,-0.6243015,0,0,-0.19,0
8649,21722805,0,1.4,0.39,17.61,0.001268624,0.002856195,-0.3108917,0.1492272,0,0,-0.6221009,0,0,-0.18,0
8694,21732878,0,1.4,0.39,17.61,0.001378838,0.002832632,-0.3087613,0.1534667,0,0,-0.6198207,0,0,-0.19,0
8735,21742846,0,1.4,0.39,17.61,0.001642632,0.002814635,-0.3065608,0.1528784,0,0,-0.6177496,0,0,-0.18,0
8775,21753221,0,1.4,0.39,17.61,0.001653568,0.002572111,-0.3058529,0.1558546,0,0,-0.6208085,0,0,-0.18,0
8816,21763229,0,1.4,0.38,17.61,0.001500268,0.002278333,-0.3035977,0.1545386,0,0,-0.6189114,0,0,-0.18,0
8850,21774035,0,1.39,0.38,17.62,0.001150804,0.002270652,-0.3009602,0.1543228,0,0,-0.6164751000000001,0,0,-0.18,0
8891,21784047,0,1.39,0.38,17.62,0.0006339167,0.002060936,-0.2986404,0.1570669,0,0,-0.6139778,0,0,-0.18,0
8931,21793976,0,1.39,0.37,17.62,1.242886e-05,0.001605151,-0.2965435,0.1585297,0,0,-0.6117035,0,0,-0.18,0
8972,21803940,0,1.39,0.37,17.62,-0.0008127879,0.001373659,-0.294473,0.1557048,0,0,-0.6096357,0,0,-0.18,0
9013,21813927,0,1.38,0.37,17.62,-0.00161488,0.001192273,-0.29404,0.1565884,0,0,-0.6125748,0,0,-0.18,0
9054,21823946,0,1.38,0.37,17.63,-0.002385609,0.000775887,-0.2919997,0.1556525,0,0,-0.6106905,0,0,-0.18,0
9099,21833963,0,1.39,0.37,17.63,-0.002990737,0.0004829039,-0.2900975,0.1507296,0,0,-0.6089956,0,0,-0.18,0
9139,21843958,0,1.39,0.37,17.63,-0.003672963,0.0004064755,-0.2882499,0.1444214,0,0,-0.6074913,0,0,-0.18,0
9180,21853944,0,1.39,0.38,17.63,-0.004076486,0.000212736,-0.2863199,0.1345489,0,0,-0.606158,0,0,-0.18,0
9235,21894788,0,1.4,0.39,17.64,-0.003580586,-0.001000853,-0.2786296,0.1171033,0,0,-0.6015571,0,0,-0.18,0
9276,21904866,0,1.4,0.39,17.65,-0.003451568,-0.0007792141,-0.2767336,0.1135627,0,0,-0.5997564,0,0,-0.18,0
